Deid,O_ACC,O_ACC_sd,O_DI,O_DI_sd,OPP_P,OPP_P_sd,OPP_U,OPP_U_sd,T_ACC,T_ACC_sd,T_DI,T_DI_sd,TPP_P,TPP_P_sd,TPP_U,TPP_U_sd,OTP,OTP_sd,OPP,OPP_sd,OTP_Ratio,OTP_Ratio_sd,TTP,TTP_sd,TPP,TPP_sd,TTP_Ratio,TTP_Ratio_sd
1,0.695,0.012,0.2541,0.0175,0.5904,0.0243,0.1503,0.0157,0.6604,0.0116,0.8682,0.0134,0.4853,0.023,0.4215,0.0237,0.794,0.0217,0.4455,0.021,0.483,0.0321,0.761,0.027,0.4644,0.023,0.9971,0.0409
2,0.701,0.0108,0.2735,0.0145,0.579,0.0243,0.1586,0.0134,0.6713,0.0078,0.8229,0.0126,0.479,0.0161,0.3943,0.0166,0.7963,0.0225,0.4406,0.0203,0.5471,0.0366,0.7561,0.0205,0.4511,0.0161,0.9641,0.047
4,0.7007,0.0105,0.2731,0.0148,0.5799,0.0239,0.1586,0.0134,0.6709,0.0078,0.8204,0.0137,0.4805,0.0145,0.3943,0.0167,0.7968,0.0223,0.4412,0.0199,0.5468,0.0371,0.7575,0.019,0.4522,0.0151,0.9621,0.0497
6,0.7038,0.0125,0.2702,0.0185,0.5725,0.0254,0.155,0.0161,0.673,0.0098,0.8203,0.0141,0.4756,0.0175,0.3902,0.0185,0.7907,0.0247,0.4351,0.0223,0.5409,0.0434,0.7521,0.0209,0.4475,0.0177,0.9649,0.0481
8,0.7018,0.01,0.2726,0.0153,0.5774,0.0207,0.1576,0.0127,0.6719,0.0078,0.8197,0.0137,0.4789,0.0139,0.3927,0.0161,0.795,0.0202,0.4392,0.0178,0.5444,0.0401,0.7561,0.0186,0.4505,0.0145,0.9626,0.0498
10,0.7014,0.0097,0.2726,0.0149,0.5784,0.0199,0.1578,0.0125,0.6718,0.0075,0.8209,0.0137,0.4786,0.0138,0.3929,0.0156,0.7958,0.02,0.44,0.0174,0.5443,0.0394,0.7557,0.0182,0.4504,0.0142,0.9625,0.05
12,0.6986,0.0086,0.2757,0.0144,0.5843,0.018,0.1613,0.0119,0.6689,0.0084,0.8266,0.0166,0.4829,0.0143,0.3993,0.0174,0.8007,0.0189,0.4451,0.0156,0.5471,0.037,0.7599,0.0183,0.4554,0.015,0.9677,0.0457
14,0.7018,0.0108,0.2681,0.02,0.577,0.0227,0.155,0.0162,0.6719,0.0103,0.8303,0.0248,0.4756,0.0167,0.3952,0.0237,0.7927,0.0218,0.4381,0.0197,0.5316,0.0487,0.7532,0.0217,0.4491,0.0186,0.964,0.0506
16,0.6997,0.0095,0.2717,0.0151,0.582,0.0189,0.1583,0.0121,0.6705,0.0093,0.8314,0.0229,0.4788,0.013,0.3982,0.0195,0.7977,0.0195,0.4425,0.0166,0.5404,0.0397,0.7569,0.0172,0.4523,0.0148,0.9621,0.0506
32,0.7026,0.0146,0.2638,0.0269,0.5753,0.0313,0.1524,0.0222,0.6718,0.012,0.8285,0.0283,0.4744,0.0185,0.3934,0.027,0.79,0.0294,0.4361,0.0272,0.52,0.0586,0.75,0.0235,0.4478,0.0209,0.9596,0.0524
64,0.6921,0.0084,0.2831,0.012,0.5968,0.016,0.1691,0.0106,0.6619,0.0083,0.8298,0.0351,0.4942,0.0088,0.4102,0.0215,0.8098,0.0139,0.456,0.0142,0.5396,0.0396,0.7687,0.0122,0.4665,0.0119,0.9493,0.0426
128,0.6863,0.0132,0.2684,0.0186,0.6061,0.0325,0.1628,0.0153,0.6519,0.0206,0.8888,0.0458,0.4969,0.0288,0.4426,0.0467,0.8064,0.0271,0.4602,0.0251,0.4968,0.0512,0.774,0.0323,0.4791,0.0343,0.9728,0.0455
256,0.7017,0.0108,0.2698,0.03,0.5684,0.0244,0.1536,0.0198,0.6928,0.0071,0.664,0.0195,0.4725,0.0181,0.3136,0.0123,0.7794,0.0195,0.4319,0.0192,0.4767,0.0459,0.7363,0.0221,0.4202,0.0148,0.8391,0.0431
